The date,Region,The town/village,County/City,Initial year of exploitation ,Building Total Area,Room volume,Average floor height,Reference area,Above-ground floors,Underground floor,Mansard,Roof floor,Initial energy class ,Energy consumption before,Heat energy consumption before,Carbon dioxide emissions before,Carrying out construction works ,Reconstruction of engineering systems,Water heating system,Heat installation,Energy class after,Heat energy consumption after,Consumption for hot water after,Consumption for mechanical ventilation after,Consumption for lighting after,Consumption for cooling after,Energy consumption after,Heat saving for heating,Total energy consumption saving,Saving of heat energy ,Primary non-renewable energy,Primary total energy consumption,Almost zero energy building,Carbon dioxide emission tons after,Carbon dioxide emission after,Area of the external surface,Average heat transfer coefficient,Average heat transfer coefficient_1,Building calculated heat loss coefficient,Building allowable heat loss coefficient,Indoor temperature heating,Indoor temperature for cooling,Air exchange rate,Ventilation heat loss coefficient,Energy resource for heating 1,Energy resource for heating 2,Energy resource for hot water 1,Energy resource for hot water 2,Energy resource for ventilation,Energy resource for cooling 1,Energy resource for cooling 2,CO2 emission factor for heating 1,CO2 emission factor for heating 2,CO2 emission factor for hot water 1,CO2 emission factor for hot water 2,CO2 emission factor for ventilation,CO2 emission factor for cooling 1,CO2 emission factor for cooling 2,Non-renewable factor for heating 1,Non-renewable factor for heating 2,Non-renewable factor for water 1,Non-renewable factor for water 2,Non-renewable factor for ventilation,Non-renewable factor for cooling 1,Non-renewable factor for cooling 2,Renewable factor for heating 1,Renewable factor for heating 2,Renewable factor for water 1,Renewable factor for water 2,Renewable factor for ventilation,Renewable factor for cooling 1,Renewable factor for cooling 2,Total factor for heating 1,Total factor for heating 2,Total factor for water 1,Total factor for water 2,Total factor for ventilation,Total factor for cooling 1,Total factor for cooling 2
2022,Kurzemes,town23,county19,1930,99.5,248.75,2.5,96.0,2,0,0,0,D,160.7,124.3,6.43,1,0,0,0,B,62,36,0,0,0,99,62.3,61.7,50.12,19.0,118.0,0,0.39,3.95,259.0,0.36,0.35,1.0,1.86,20.0,25,0.37,0.44,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town17,county1,1995,219.1,297.93,2.23,133.6,1,1,1,0,F,185.37,159.1,8.24,1,0,0,0,C,70,26,0,0,20,116,89.1,69.37,56.0,35.0,152.0,0,0.7,5.25,376.0,0.3,0.3,0.9,1.2,18.0,0,0.5,0.4,Solid biofuel,-,Solid biofuel,-,-,Electricity from the grid,-,40.0,-,40,-,-,109,-,0.2,-,0.2,-,-,1.9,-,1.0,-,1,-,-,0.6,-,1.2,-,1.2,-,-,2.5,-
2022,Rīgas,town13,county4,1985,245.8,374.0,76.0,155.5,2,1,0,0,F,207.6,175.2,6.47,1,0,0,0,C,66,29,0,0,0,96,109.2,111.6,62.33,96.0,105.0,0,3.0,19.3,422.0,0.35,0.28,1.26,2.6,18.0,25,0.48,0.24,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town12,county12,1900,368.8,775.22,2.7,287.12,2,1,0,0,D,97.2,110.7,5.99,1,0,0,0,C,77,8,0,0,6,91,33.7,6.2,30.44,128.0,131.0,0,0.66,2.31,699.0,0.25,0.26,0.63,0.84,20.0,20,0.4,0.37,Wood/wood waste,-,Wood/wood waste,-,-,Electricity from the grid,-,15.6,-,15.6,-,-,109,-,1.1,-,1.1,-,-,1.9,-,0.0,-,0,-,-,0.6,-,1.1,-,1.1,-,-,2.5,-
2022,Kurzemes,town24,county20,1938,87.0,328.08,4.19,78.0,1,0,1,0,D,210.0,140.0,12.0,1,0,0,0,C,86,20,0,0,20,156,54.0,54.0,38.57,123.0,266.0,0,0.77,9.8,357.0,0.25,0.33,1.12,1.51,18.0,26,0.35,0.5,Solid biofuel,-,Electricity from the grid,-,-,"Aerothermal, geothermal, hydrothermal and marine energy, hydropower",Electricity from the grid,40.0,-,109,-,-,0,109,0.2,-,1.9,-,-,0,1.9,1.0,-,0.6,-,-,1,0.6,1.2,-,2.5,-,-,1,2.5
2022,Rīgas,town10,county10,1984,94.6,192.58,2.66,72.4,1,1,0,0,F,263.04,237.9,10.52,1,0,0,0,B,66,25,0,0,0,91,171.9,172.04,72.26,18.0,109.0,0,0.26,3.65,291.0,0.22,0.25,0.9,1.01,20.0,27,0.5,0.46,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Kurzemes,town25,county19,1930,152.9,303.06,2.08,145.7,2,0,0,0,D,139.0,124.4,5.56,1,0,0,0,C,85,16,0,0,0,101,39.4,38.0,31.67,20.0,121.0,0,0.59,4.04,261.0,0.26,0.25,1.12,2.13,19.0,25,0.49,0.39,Solid biofuel,-,Solid biofuel,-,-,-,-,40.0,-,40,-,-,-,-,0.2,-,0.2,-,-,-,-,1.0,-,1,-,-,-,-,1.2,-,1.2,-,-,-,-
2022,Rīgas,town26,county11,2010,293.5,592.28,2.6,218.4,3,0,0,0,D,117.04,107.14,5.39,1,0,0,0,C,85,10,0,0,0,95,22.14,22.04,20.66,104.0,104.0,0,4.37,19.19,691.0,0.49,0.31,1.43,2.37,18.0,25,0.48,0.45,Gas,-,Gas,-,-,-,-,202.0,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,,county21,1968,135.3,343.66,2.54,135.3,2,0,0,0,E,246.45,173.45,49.78,1,0,0,0,C,82,71,0,0,0,153,91.45,93.45,52.72,168.0,168.0,0,2.56,18.92,345.0,0.3,0.4,0.8,1.0,20.0,24,0.5,0.4,Gas,-,Gas,-,-,-,-,56.1,-,202,-,-,-,-,1.1,-,1.1,-,-,-,-,0.0,-,0,-,-,-,-,1.1,-,1.1,-,-,-,-
2022,Rīgas,town1,county22,2005,174.1,314.78,2.25,139.9,1,0,1,0,D,122.44,106.0,27.48,1,1,0,0,C,76,16,2,0,20,114,30.0,8.44,28.3,133.0,141.0,0,2.94,21.05,402.0,0.43,0.29,1.29,1.18,19.0,0,0.71,0.37,Electricity from the grid,Gas,Gas,-,Electricity from the grid,Electricity from the grid,-,109.0,202,202,-,109,109,-,1.9,1.1,1.1,-,1.9,1.9,-,0.6,0,0,-,0.6,0.6,-,2.5,1.1,1.1,-,2.5,2.5,-
